CPU,PerfIndex
Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz (4 cores),8.78
AMD EPYC 7R13 Processor (4 cores),8.74
AMD EPYC-Rome-v4 Processor (no XSAVES) (4 cores),8.74
Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz (16 cores),8.53
Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz (12 cores),8.53
Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz (4 cores),8.53
Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz (4 cores),8.53
Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz (4 cores),8.53
Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz (4 cores),8.51
Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz (4 cores),8.51
Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz (4 cores),8.51
Intel(R) Core(TM) i5-8600 CPU @ 3.10GHz (6 cores),8.51
Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz (6 cores),8.4
Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz (8 cores),8.4
WMIFailed,8.4
11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz (8 cores),8.37
11th Gen Intel(R) Core(TM) i9-11950H @ 2.60GHz (16 cores),8.37
Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz (4 cores),8.23
Intel(R) Core(TM) i5-8500 CPU @ 3.00GHz (6 cores),8.23
Intel(R) Core(TM) Ultra 5 135H (18 cores),8.23
Intel(R) Core(TM) Ultra 7 165H (22 cores),8.23
Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz (4 cores),8.23
Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz (8 cores),8.23
Intel(R) Core(TM) Ultra 7 155H (22 cores),8.23
Intel(R) Core(TM) Ultra 5 125H (18 cores),8.23
Intel(R) Xeon(R) CPU @ 2.80GHz (4 cores),8.23
Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz (8 cores),8.23
Intel(R) Xeon(R) Gold 6242 CPU @ 2.80GHz (4 cores),8.23
Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz (16 cores),8.23
Intel(R) Xeon(R) Platinum 8362 CPU @ 2.80GHz (4 cores),8.23
Intel(R) Core(TM) Ultra 9 185H (22 cores),8.23
Intel(R) Core(TM) i5-9400 CPU @ 2.90GHz (6 cores),8.12
11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz (16 cores),8.05
11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz (16 cores),8.05
Intel(R) Xeon(R) Platinum 8280 CPU @ 2.70GHz (4 cores),7.94
Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz (4 cores),7.94
Intel(R) Core(TM) i7-10850H CPU @ 2.70GHz (12 cores),7.94
Intel(R) Xeon(R) Platinum 8168 CPU @ 2.70GHz (4 cores),7.94
Intel(R) Xeon(R) Gold 6150 CPU @ 2.70GHz (4 cores),7.94
Intel(R) Xeon(R) Platinum 8168 CPU @ 2.70GHz (8 cores),7.94
11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz (8 cores),7.73
Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz (6 cores),7.68
Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz (4 cores),7.64
Intel(R) Core(TM) Ultra 5 135U (14 cores),7.64
Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz (4 cores),7.64
Intel(R) Xeon(R) Gold 6142 CPU @ 2.60GHz (4 cores),7.64
Intel(R) Xeon(R) Platinum 8462Y+ (4 cores),7.64
Intel(R) Core(TM) Ultra 7 165U (14 cores),7.64
Intel Xeon Processor (Icelake) (6 cores),7.64
Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz (12 cores),7.64
Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz (4 cores),7.64
Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz (4 cores),7.64
Intel(R) Core(TM) i5-10400H CPU @ 2.60GHz (8 cores),7.64
Intel Xeon Processor (Icelake) (4 cores),7.64
Intel Xeon Processor (Cascadelake) (16 cores),7.64
Intel(R) Core(TM) Ultra 7 155U (14 cores),7.64
Intel(R) Core(TM) Ultra 5 125U (14 cores),7.64
Intel(R) Xeon(R) Silver 4416+ (4 cores),7.64
Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz (8 cores),7.64
Intel(R) Xeon(R) Gold 6442Y (4 cores),7.64
Intel(R) Xeon(R) Platinum 8488C (4 cores),7.64
Intel(R) Xeon(R) Platinum 8473C (4 cores),7.64
Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz (4 cores),7.64
Intel Xeon Processor (Cascadelake) (4 cores),7.64
Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz (4 cores),7.64
Intel(R) Xeon(R) Platinum 8358P CPU @ 2.60GHz (4 cores),7.64
Intel(R) Xeon(R) Gold 6414U (8 cores),7.64
Intel Xeon Processor (Cascadelake) (8 cores),7.64
11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (16 cores),7.41
